Paper ID,Explanation ID,Display (modality),Display (more specific),"Explanation Focus (Input, Process, Output)",Expl. Approach,Interactivity,Interaction type,"Explanation Type (local, pairwise, top-n, global)",Model-instrinsic or Post-hoc?,Content Category,Content Code
112,112.02,hybrid,numerical and textual and visual: confidence level of AI in addition to explanation 112.01,Output,simulated confidence level of the AI,no,None,local,-,Decision inference process,Decision method side-outcomes
113,113.01,textual,"(persuasive): movie thumbnail, movie title (year) and persuasive explanation",Output,item-centric,no,None,local,post-hoc,Background and complementary information,Background data
113,113.02,textual,"(personalized): movie thumbnail, movie title (year) and personalized explanation",Output,user-centric,no,None,local,post-hoc,Background and complementary information,Knowledge about similar items
113,113.03,hybrid,"textual and numerical (IMDb-based): movie thumbnail, movie title (year) and average rating and number of votes",Output,item-centric,no,None,local,post-hoc,Background and complementary information,Knowledge about the community
114,114.01,textual,(uda + nn),Output,"rule-based, user-centric",no,-,local,model-intrinsic,unk,unk
114,114.02,textual,(pda + nn),Output,"rule-based, user-centric",no,-,local,model-intrinsic,unk,unk
114,114.03,textual,(acc + nn),Output,"rule-based, user-centric",no,-,local,model-intrinsic,unk,unk
115,115.01,visual,combination of bar and line chart with color coding,Input,"user model explanation showing ""[...] an abstract representation of their [students'] knowledge state based on the knowledge units (concepts) that are present in the domain model."" User model visuals placed as close as possible to recommendations",yes,"yes (drop down to select different models -- either viewing current knowledge state or knowledge state over time, option to select topics to be included in visulaization)",global,not mentioned,Background and complementary information + User preferences and input,Knowledge about peers + Decisive input values
116,116.01,textual,"(basic properties), using the top-k properties extracted",Output,sentences constructed from paths in knowledge graphs,no,none,"local, top-1",post-hoc,Background and complementary information,Knowledge about similar items
116,116.02,textual,"(broader properties), more context to the top-k properties",Output,sentence constructed from paths in knowledge graphs,no,none,"local, top-1",post-hoc,Background and complementary information,Knowledge about similar items
116,116.03,textual,(single item): one explanation for each item recommended in a group of 5,Output,sentence constructed from paths in knowledge graphs,no,none,"local, top-n",post-hoc,Background and complementary information,Knowledge about similar items
116,116.04,textual,(group of items): one explanation for the entire group of 5 recommended items,Output,sentence constructed from paths in knowledge graphs,no,none,top-n,post-hoc,Background and complementary information,Knowledge about similar items
117,117.01,visual,"(low): shown as a bar plot below a movie recommendation. the bars are represented by movie attributes (subject, actor, director, etc.) and the size of the bar indicates the share of interest with the profile of the user in percentages",output,plot containing five selected semantic attributes and the interest of the user,no,none,local,post-hoc,User preferences and input,Preference match
117,117.02,visual,"(medium): shown as a bar plot below a movie recommendation. the bars are represented by movie attributes (subject, actor, director, etc.) and the size of the bar indicates the share of interest with the profile of the user in percentages",output,plot containing five selected semantic attributes and the interest of the user,no,none,local,post-hoc,User preferences and input,Preference match
117,117.03,visual,"(high): shown as a bar plot below a movie recommendation. the bars are represented by movie attributes (subject, actor, director, etc.) and the size of the bar indicates the share of interest with the profile of the user in percentages",output,plot containing five selected semantic attributes and the interest of the user,no,none,local,post-hoc,User preferences and input,Preference match
118,118.01,textual,"textual, conversational explanation based on the proposed model (CRFR)",output,reasoning paths,no,none,local,post-hoc,items and their features,Decisive features
118,118.02,textual,"textual, conversational explanation based on the model (Transformer)",output,reasoning paths,no,none,local,post-hoc,items and their features,Decisive features
118,118.03,textual,"textual, conversational explanation based on the model (REDIAL)",output,reasoning paths,no,none,local,post-hoc,items and their features,Decisive features
118,118.04,textual,"textual, conversational explanation based on the model (KBRD)",output,reasoning paths,no,none,local,post-hoc,Baseline*,Recommendation only
118,118.05,textual,"textual, conversational explanation based on the model (KGSF)",output,reasoning paths,no,none,local,post-hoc,Baseline*,Recommendation only
119,119.01,textual,conversational explanation based on social attributes,output,explanations are created based on a template and selected from a list of available explanations ,yes,response to recommended movie,local,post-hoc,User preferences and input,Decisive input values
119,119.02,textual,conversational explanation based on user preference attributes,output,explanations are created based on a template and selected from a list of available explanations,yes,response to recommended movie,local,post-hoc,Background and complementary information,Knowledge about the community
120,120.01,textual,non-specific style,output,"ratings, or the fact of purchases of similar users",no,none,local,post-hoc,Decision inference process,Inference and domain knowledge
120,120.02,textual,demographic style,output,"gender, age, profession, etc. of users",no,none,local,post-hoc,User preferences and input,Decisive input values
120,120.03,textual,content style,output,"content of recommended items, represented by extracted keywords or annotated tags",no,none,local,post-hoc,Decision inference process,Inference and domain knowledge
120,120.04,textual,context style,output,context when users would consume recommended items,no,none,local,post-hoc,User preferences and input,Decisive input values
120,120.05,textual,demographic + context style,output,combinations of above,no,none,local,post-hoc,Decision inference process,Inference and domain knowledge
120,120.06,textual,content + context style,output,combinations of above,no,none,local,post-hoc,User preferences and input,Decisive input values
120,120.07,textual,demographic + content + context style,output,combinations of above,no,none,local,post-hoc,User preferences and input,Decisive input values
121,121.01,textual,"ORE, only recommendation explanation",output,"explanations generate based on a template incorporating 5Ws (when, where, who, what, and with whom)",no,none,local,post-hoc,Decision inference process,Decision method side-outcomes
121,121.02,textual,"RCE, recommendation and complementary explanations",output,"explanations generate based on a template incorporating 5Ws (when, where, who, what, and with whom)",no,none,local,post-hoc,Decision inference process,Decision method side-outcomes
121,121.03,textual,"RELF, recommendation explanation and log features",output,"explanations generate based on a template incorporating 5Ws (when, where, who, what, and with whom)",no,none,local,post-hoc,Decision inference process,Decision method side-outcomes
122,122.01,textual,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unk,unk
123,123.01,visual,IT: thumb-up/thumb-down for individual clothing item (one for top and one for bottom) ,Output,manually generated,no,none,local,-,items and their features,Pros and Cons
123,123.02,visual,CT: thumb-up/thumb-down for combined clothing items (top and bottom) ,Output,manually generated,no,none,pairwise,-,items and their features,Pros and Cons
123,123.03,textual,CN: natural language explanation for combined clothing items,Output,manually generated,no,none,pairwise,-,items and their features,Pros and Cons
123,123.04,hybrid,"visual, textual: IT-CT",Output,manually generated,no,none,pairwise,-,items and their features,Pros and Cons
123,123.05,hybrid,"visual, textual: IT-CN",Output,manually generated,no,none,pairwise,-,items and their features,Pros and Cons
124,124.01,textual,conversational: rationale-based explanations focuses on the immediate feedback on the rationale of the proposed questions,Output,manually generated,yes,conversation,local,post-hoc,Background and complementary information,Knowledge about the community
124,124.02,textual,conversational: feature-based explanation offers a personalized summary based on the user input answers,Output,manually generated,yes,conversation,local,post-hoc,User preferences and input,Decisive input values
124,124.03,textual,conversational: example-based explanation offers an identical example of a patient who receiving the same clinical recom with the same user input answers,Output,manually generated,yes,conversation,local,post-hoc,Background and complementary information,Background data
125,125.01,visual,chord diagram,Output,based on Tv program genre similarity,yes,hover over genre to see how the genre is connected to the others,-,-,Background and complementary information,Relationship between knowledge objects
125,125.02,tabular,ranked list in a tabular fashion,Output,based on Tv program genre similarity,no,none,-,-,Decision inference process,Decision method side-outcomes
126,126.01,textual,,Output,"""contextual information as an attention-drawing mechanism that can be used as a trigger, and user explanations of recommenders as “why” phase"". Explanation/justification of recommendation",yes,explanation on demand (mouse-over),local,unclear,Decision inference process,Inference trace
126,126.02,textual,,Output,"""contextual information as an attention-drawing mechanism that can be used as a trigger, and user explanations of recommenders as “why” phase"". Explanation of ""social context"" (authors' other work)",yes,explanation on demand (mouse-over),top-n?,unclear,Decision inference process,Inference trace
126,126.03,textual,,Output,"""contextual information as an attention-drawing mechanism that can be used as a trigger, and user explanations of recommenders as “why” phase"". Explanation of years and authors charts of recommended articles",yes,explanation on demand (mouse-over),top-n,unclear,Decision inference process,Inference trace
126,126.04,textual,,Output,"""contextual information as an attention-drawing mechanism that can be used as a trigger, and user explanations of recommenders as “why” phase"". Arguments for connection-making from transparency",yes,explanation on demand (mouse-over),top-n,unclear,Decision inference process,Inference trace
127,127.01,textual,,Output,explanation of content-based recsys,no,none,top-n,- (mockup),User preferences and input,Preference match
127,127.02,textual,,Output,explanation of collaborative filtering recsys,no,none,top-n,- (mockup),Decision inference process,Inference and domain knowledge
127,127.03,textual,,Output,percentage match for content-based recsys,no,none,local,- (mockup),User preferences and input,Preference match
127,127.04,textual,,Output,percentage match for cf-based recsys,no,none,local,- (mockup),Decision inference process,Inference and domain knowledge
128,128.01,textual,,Output,Why justification,yes,feedback to chatbot about explanation/recommendation (like/dislike),local,post-hoc,User preferences and input,Preference match
128,128.02,textual,,Output,Why not justification,yes,feedback to chatbot about explanation/recommendation (like/dislike),pairwise,post-hoc,items and their features,Feature-based domination
128,128.03,textual,,Output,Combination justification,yes,feedback to chatbot about explanation/recommendation (like/dislike),pairwise,post-hoc,items and their features + User preferences and input,Feature-based domination + Preference match
129,129.01,hybrid,textual and images: textual explanation together with top-3 similar images in interface 2,Output,explanations generate based on the DNN algorithm,yes,star rating for recommended item,local,post-hoc,Decision inference process,Inference and domain knowledge
129,129.02,hybrid,textual and images: textual explanation together with top-3 similar images in interface 2,output,explanations generate based on the AVF algorithm,yes,star rating for recommended item,local,post-hoc,Decision inference process,Inference and domain knowledge
129,129.03,visual,visual and images: textual explanation together with top-3 similar images in interface 3,Output,explanations generate based on the DNN algorithm,yes,star rating for recommended item,local,post-hoc,Decision inference process,Inference and domain knowledge
129,129.04,visual,visual and image: bar chart with features and top-1 similar images in interface 3,output,explanations generate based on the AVF algorithm,yes,star rating for recommended item,local,post-hoc,Decision inference process + User preferences and input,Inference and domain knowledge + Preference match
130,130.01,textual,"shows why a person is recommended based on user preferences, such as religion, profession, ethnic group, body type, etc.",output,one-sided explanation,no,none,local,post-hoc,User preferences and input,Preference match
130,130.02,textual,"shows why a person is recommended based on user preferences, such as religion, profession, ethnic group, body type, etc.",output,reciprocal explanation,no,,local,post-hoc,User preferences and input,Preference match
130,130.03,textual,,output,tranparent explanation - the actual reasoning for the recommendation using top-k attributes,no,,local,post-hoc,User preferences and input,Decisive input values
130,130.04,textual,,output,correlation-based explanation - measures the correlation between the presence of attribute value v in a user's profile and the likelihood that the user will choose to send them a message,no,,local,post-hoc,User preferences and input,Suitability estimate
131,131.01,textual,context style,output,context style explanation: Context when users would consume recommended items,no,none,local,post-hoc,User preferences and input,Preference match
131,131.02,textual,demographic style,output,"demographic style explanation: gender, age, profession, etc. of users",no,none,local,post-hoc,User preferences and input,Preference match
131,131.03,textual,content style,output,"content style explanation: content of recommended items, represented by extracted keywords or annotated tags",no,none,local,post-hoc,Background and complementary information,Knowledge about similar items
131,131.04,textual,demographic + context style,output,combinations of above,no,none,local,post-hoc,User preferences and input,Preference match
131,131.05,textual,content + context style,output,combinations of above,no,none,local,post-hoc,,
131,131.06,textual,demographic + content + context style,output,combinations of above,no,none,local,post-hoc,,
131,131.07,textual,non-specific style,output,recommend based on your visit logs,no,none,local,post-hoc,,
132,132.01,textual,,output,based on the proposed method called MTER,no,none,local,model-intrinsic,items and their features,Decisive features
133,133.01,textual,,output,based on the proposed method called FacT,no,none,local,model-intrinsic,User preferences and input,Preference match
134,134.01,textual,inferred keywords,output,"we applied the softmax probability distribution over the entire vocabulary to retrieve the probabilities of each word in the vocabulary belonging to the course2vec vector. With this probability distribution, it is straightforward to then find the high probability words predicted based on course2vec which were NOT in the course description.",no,none,local,post-hoc,items and their features,Decisive features
134,134.02,textual,anchored keywords,output,showing the keywords of the recommended courses overlapping with the anchor course [anchor course = course student has taken and selected as favorite],no,none,local,post-hoc,User preferences and input,Preference match
134,134.03,textual,taken keywords,output,relate target course recommendations to keywords from any courses the student has taken in the past,no,none,local,post-hoc,Background and complementary information,Knowledge about similar items
135,135.01,textual,location-based explanation,Output,simulated?,yes,"decide to what degree to disclose the location (exact, neighborhood, not at all)",local,- (mockup),User preferences and input,Decisive input values
135,135.02,textual,emotion-based explanation,Output,simulated?,yes,"decide to what degree to disclose the emotional state (intense emotion, mild emotion, no emotion)",local,- (mockup),Background and complementary information,Knowledge about peers
136,136.01,visual,bar chart,Output,feature-attribution,yes,explanation on demand,local,- (mockup),User preferences and input,Decisive features
137,137.01,textual,"simple explanation (""no explanation"") baseline",Output,general title for recommendation list,no,none,top-n,-,Decision inference process,Inference and domain knowledge
137,137.02,textual,list-specific explanation,Output,title for recommendation list based on the feature that the items' similarity was computed,no,none,top-n,unclear,items and their features + Decision inference process,Decisive features + Inference and domain knowledge
138,138.01,textual,"Explanations with aggregated results: Summarizes opinions found in reviews using bullet points and percentages of positive and negative opinions. With Low level of justification. To address the main aspects of in- terest to users (e.g. overall cleanliness), without further elaboration or details.",Output,review-based,no,none,local,mockup,items and their features,Pros and Cons
138,138.02,textual,"Explanations with only textual summary: Summarizes opin- ions using just text (no bullet points nor percentages). With Low level of justification. To address the main aspects of in- terest to users (e.g. overall cleanliness), without further elaboration or details.",Output,review-based,no,none,local,mockup,User preferences and input,Preference match
138,138.03,textual,"Explanations using a helpful review: This type of explana- tions indicate that recommendation was based on information pro- vided in helpful reviews, and offers one of such reviews as an example. With Low level of justification. To address the main aspects of in- terest to users (e.g. overall cleanliness), without further elaboration or details.",Output,review-based,no,none,local,mockup,User preferences and input,Preference match
138,138.04,textual,Explanations with aggregated results: Summarizes opinions found in reviews using bullet points and percentages of positive and negative opinions. With High level of justification. To address the main aspects of in- terest to users (e.g. overall cleanliness) by providing fine grained details with several sentences about more specific aspects (e.g. clean- liness of bathroom).,Output,review-based,no,none,local,mockup,items and their features,Pros and Cons
138,138.05,textual,Explanations with only textual summary: Summarizes opin- ions using just text (no bullet points nor percentages). With High level of justification. To address the main aspects of in- terest to users (e.g. overall cleanliness) by providing fine grained details with several sentences about more specific aspects (e.g. clean- liness of bathroom).,Output,review-based,no,none,local,mockup,User preferences and input,Preference match
138,138.06,textual,"Explanations using a helpful review: This type of explana- tions indicate that recommendation was based on information pro- vided in helpful reviews, and offers one of such reviews as an example. With High level of justification. To address the main aspects of in- terest to users (e.g. overall cleanliness) by providing fine grained details with several sentences about more specific aspects (e.g. clean- liness of bathroom).",Output,review-based,no,none,local,mockup,User preferences and input,Preference match
139,139.01,tabular,% of positive and negative comments for individual features,Output,explanations as interactive argumentation in review-based RS,yes,drill-down approach,local,post-hoc,Background and complementary information,Background data
139,139.02,textual,template-based,Output,explanations as interactive argumentation in review-based RS,yes,drill-down approach,local,post-hoc,Background and complementary information,Background data
139,139.03,visual,bar chart with % of positive and negative comments for individual features,Output,explanations as interactive argumentation in review-based RS,yes,drill-down approach,local,post-hoc,Background and complementary information,Background data
140,140.01,tabular,"the user is presented with a set of the strongest supporters (attackers, resp.) in a table with their types and predicted ratings; makes use of the width in the argumentation explanations as many of the aspects affecting an item may be considered, but nothing deeper in the argumentation explanation",output,,yes,"The user can then interact with the explanations by recti- fying ratings for supporter/attackers. In the illustration, for case ↓ the user may decide to lower the rating of (one of) a1 and g1, and in case ↑ the user may increase the rating of g2.",local,post-hoc,Decision inference process,Inference trace
140,140.02,textual,"a linguistic description of the reasons behind a recommendation, delivered statically. It differs from tabular not just in style, but also in content, by targeting depth, rather than width, in the argumentation explanation.",output,,yes,"The user may then interact with the RS in the following ways for cases ↓/↑, resulting in the indicated changes:
● I don’t care about a movie’s tmax/tmin - Reduce constant
such that μ′ < μ / μ′ tmax tmax tmin
● I dislike/like amax /amin
/ R′(u,amin) such that PA′ (amax) < 0 < PA(amax) / PA′ (amin) > 0 > PA(amin).
● But I dislike/like imax/imin [available if R(u, amax )/R(u, amin ) is not defined] - Assign rating such that R′(u,imax) < 0 <r(imax)/ R′(u,imin) > 0>r(imin). ● I don’t care about what other users think [available if R(u, amax )/ R(u, amin ) and R(u, imax )/R(u, imin ) are not defined] - Reduce constant such that φ′ < φ.",local,post-hoc,Decision inference process,Inference trace
140,140.03,textual,"conversational: uses the same information as the textual explanation, i.e. exploiting the depth of the argumentation explanation, but structured in a dynamic, conversational protocol between the user and the RS, potentially resulting in changes in predicted ratings.",output,,yes,,local,post-hoc,Decision inference process,Inference trace
141,141.01,visual,"bar chart, LIME explanation",output,feature importance,no,,local,post-hoc,items and their features,Decisive features
141,141.02,visual,SHAP explanation,output,feature importance,no,,local,post-hoc,items and their features,Decisive features
142,142.01,visual,"the user is presented with the exact ratings his neighbours have entered, high number of ratings",output,"rating-based, similar users",no,,local,post-hoc,Background and complementary information,Knowledge about the community
142,142.02,visual,"the user is presented with the exact ratings his neighbours have entered, medium number of ratings",output,"rating-based, similar users",no,,local,post-hoc,Background and complementary information,Knowledge about the community
142,142.03,visual,"the user is presented with the exact ratings his neighbours have entered, low number of ratings",output,"rating-based, similar users",no,,local,post-hoc,Background and complementary information,Knowledge about the community
142,142.04,visual,"a histogram of neighbours’ ratings for the recommended item, high mean rating",output,"rating-based, similar users",no,,local,post-hoc,Background and complementary information,Knowledge about the community
142,142.05,visual,"a histogram of neighbours’ ratings for the recommended item, medium mean rating",output,"rating-based, similar users",no,,local,post-hoc,Background and complementary information,Knowledge about the community
142,142.06,visual,"a histogram of neighbours’ ratings for the recommended item, low mean rating",output,"rating-based, similar users",no,,local,post-hoc,Background and complementary information,Knowledge about the community
143,143.01,textual,popularity-based explanation,output,baseline see https://link.springer.com/content/pdf/10.1007/s11257-011-9117-5.pdf,no,,local,post-hoc,Background and complementary information,Knowledge about the community
143,143.02,textual,"non-personalized - categorical, factual, and categorical + factual",output,baseline see https://link.springer.com/content/pdf/10.1007/s11257-011-9117-5.pdf,no,,local,post-hoc,items and their features,Decisive features
143,143.03,textual,"pointwise personalized - categorical, factual, and categorical + factual",output,,no,,local,post-hoc,User preferences and input,Preference match
143,143.04,textual,"pairwise personalized - categorical, factual, categorical + factual",output,,no,,pairwise,post-hoc,items and their features + User preferences and input,Feature-based domination + Preference match
144,144.01,visual,"bar chart: shows the comparison the attributes between the selected song and the user's preference (see component d of the image)
scatter plot: to compare different attributes of all recommended songs (see component e of the image)",output,attribute comparison,yes,yes (check comment),local,post-hoc,User preferences and input,Preference match
145,145.01,visual,"bar plot - style 'visual', user preference 'yes'",output,review-based argumentative explanations,no,,local,post-hoc,Background and complementary information + User preferences and input,Knowledge about the community + Preference match
145,145.02,visual,"bar plot - style 'visual', user preference 'no'",output,review-based argumentative explanations,no,,local,post-hoc,Background and complementary information,Knowledge about the community
145,145.03,hybrid,"textual/tabular: text + tabular - style 'text', user preference 'yes'",output,review-based argumentative explanations,no,,local,post-hoc,Background and complementary information + User preferences and input,Knowledge about the community + Preference match
145,145.04,hybrid,"textual/tabular: text + tabular - style 'text', user preference 'no'",output,review-based argumentative explanations,no,,local,post-hoc,Background and complementary information,Knowledge about the community
146,146.01,not mentioned,not mentioned,not mentioned,feature-based CF explanation,no,not mentioned,not mentioned,not mentioned,unk,unk
146,146.02,textual,explanation based on ratings for similar items,output,"Based on the item ratings each participant provided, the system recommended similar items. Explanations were provided in relation to his or her rated items, additionally showing a rating distribution graph for each of the recommended items.",yes,yes,top-n (?),- (not explicitly mentioned),Background and complementary information,Knowledge about similar items
146,146.03,hybrid,textual/tabular: explanation of recommended items in terms of features based on user-item similarities.,output,Recommendations and explanations were generated based on features and values selected by participants. Explanations were shown for each recommended item in form of a comparison table of item features and preferred features.,yes,yes,local,- (not explicitly mentioned),User preferences and input,Preference match
147,147.01,hybrid,"visual, textual: The user can hover over an interest to see its source (i.e., publications or tweets) as a basic explanation (Figure 1a).",input,"These interest models are generated from users’ publications and tweets [26, 27].",no,- ,local,- (not explicitly mentioned),Decision inference process,Inference trace
147,147.02,hybrid,"visual, textual: When the user clicks on an interest in the tag cloud, s/he will get more information through a pop-up window highlighting the occurrence of the selected interest in the tweets or title/abstract of publications, which represents the intermediate explanation (Figure 1b).",input,"These interest models are generated from users’ publications and tweets [26, 27].",no,- ,local,- (not explicitly mentioned),Decision inference process,Inference and domain knowledge
147,147.03,hybrid,"visual, textual: The next level of detail is provided in the advanced explanation which follows an explanation by example approach to show in detail the logic of the algorithm used to infer the interest model (Figure 1c).",input,"These interest models are generated from users’ publications and tweets [26, 27].",no,- ,global,- (not explicitly mentioned),Decision inference process,Inference and domain knowledge
147,147.04,hybrid,"visual, textual: The basic explanation is achieved using a color band to map the tweet to the related interest(s). Also, the interest will be highlighted in the text of the tweet to show that this tweet contains this specific word (interest). In addition to these two visual elements, we display the similarity score on the top right corner of the tweet to show the level of similarity between the user interests and the recommended tweet (Figure 2a).",output,"The search box is initially populated with the user’s top five interests, ordered by their weights as generated by the system. Users can also add new interests in the search box or remove existing ones. The system will use these interests as input for the recommendation process.",no,- ,local,- (not explicitly mentioned),User preferences and input,Decisive input values
147,147.05,hybrid,"visual, textual: For more details, the user can choose the intermediate explanation level by clicking on ""Why this tweet?"" on the bottom right of the tweet. Similar to the basic level, the intermediate level also aims at answering the ""why"" question, but with more details. We used a Heatmap chart to show the semantic similarity between the user interest profile and the keywords extracted from the text of the tweet. The x-axis represents the keywords extracted from the tweet and the y-axis represents the user’s interests used in the recommendation. The cells show the computed semantic similarity scores between each interest and keyword (Figure 2b).",output,"The search box is initially populated with the user’s top five interests, ordered by their weights as generated by the system. Users can also add new interests in the search box or remove existing ones. The system will use these interests as input for the recommendation process.",no,- ,local,- (not explicitly mentioned),items and their features,Decisive features
147,147.06,hybrid,"visual, textual: To move to the advanced explanation level, the user has to click on the ""more"" button on the bottom right of the intermediate explanation window. The aim of the advanced explanation is to explain ""how"" the recommendation algorithm works. This is achieved by following an explanation by example approach to show in detail the logic of the algorithm used to semantically compare the keywords extracted from the recommended tweet and the user interests (Figure 2c).",output,"The search box is initially populated with the user’s top five interests, ordered by their weights as generated by the system. Users can also add new interests in the search box or remove existing ones. The system will use these interests as input for the recommendation process.",no,- ,global,- (not explicitly mentioned),Decision inference process,Inference and domain knowledge
148,148.01,textual,shows personal factors - P-first,output,"rule-based explanations, based on personal, social, and item factors",no,,local,post-hoc,User preferences and input,Decisive input values
148,148.02,textual,shows personal factors - P-last,output,"rule-based explanations, based on personal, social, and item factors",no,,local,post-hoc,User preferences and input,Decisive input values
148,148.03,textual,shows personal factors - P-together,output,"rule-based explanations, based on personal, social, and item factors",no,,local,post-hoc,User preferences and input,Decisive input values
148,148.04,textual,shows personal factors - P-total,output,"rule-based explanations, based on personal, social, and item factors",no,,local,post-hoc,User preferences and input,Decisive input values
148,148.05,textual,shows social factors - S-total,output,"rule-based explanations, based on personal, social, and item factors",no,,local,post-hoc,Background and complementary information,Knowledge about the community
148,148.06,textual,shows social factors - S-unique,output,"rule-based explanations, based on personal, social, and item factors",no,,local,post-hoc,Background and complementary information,Knowledge about the community
148,148.07,textual,shows social factors - S-favorite,output,"rule-based explanations, based on personal, social, and item factors",no,,local,post-hoc,Background and complementary information,Knowledge about the community
148,148.08,textual,shows item factors - I-release,output,"rule-based explanations, based on personal, social, and item factors",no,,local,post-hoc,Background and complementary information,Background data
148,148.09,textual,shows item factors - I-live,output,"rule-based explanations, based on personal, social, and item factors",no,,local,post-hoc,Background and complementary information,Background data
149,149.01,textual,an explanation based on natural language is provided to these students when mousing over recommended activities,output,reasons behind suggesting users learning activities,yes,hover to see the explanation,local,post-hoc,User preferences and input,Preference match
149,149.02,visual,concept-based OLM is used as a visual explanatory component when mousing over recommended activities,output,reasons behind suggesting users learning activities,yes,hover to see the explanation,local,post-hoc,User preferences and input,Preference match
149,149.03,hybrid,textual + visual: both textual and visual explanatory components explained above are shown to the students when mousing over recommended activities,output,reasons behind suggesting users learning activities,yes,hover to see the explanation,local,post-hoc,User preferences and input,Preference match
150,150.01,textual,"CommentBySingleOthers, CommentByMultipleOthers, CommentReplyToYou, CommentReplyByOthers, MentionBySingleOthers, MentionByMultipleOthers",output,collaborative explanations - comment by others group of explanations,no,,local,post-hoc,Background and complementary information,Knowledge about the community
150,150.02,textual,"EditByYou, EditByYou&Others",output,individual explanations - edit by you,no,,local,post-hoc,User preferences and input,Decisive input values
150,150.03,textual,"EditBySingleOthers, EditByMultipleOthers",output,collaborative explanations - edit by others,no,,local,post-hoc,Background and complementary information,Knowledge about the community
150,150.04,textual,SharedWithMe,output,collaborative explanations - share by others,no,,local,post-hoc,Background and complementary information,Knowledge about the community
150,150.05,textual,"FrequentlyOpen, Recently-Open, WeeklyOpen",output,individual explanations - open by you,no,,local,post-hoc,User preferences and input,Decisive input values
151,151.01,textual,-,Output,explained based on top 3 most similar images in user profile,no,none,local,post-hoc,Background and complementary information,Knowledge about similar items
151,151.02,visual,bar chart,Output,extracted visual features in a bar chart,no,none,local,model intrinsic,User preferences and input,Preference match
151,151.03,textual,-,Output,"degree of similarity to liked item, always shown to user",no,none,local,post-hoc,Background and complementary information,Knowledge about similar items
151,151.04,textual,-,Output,"degree of similarity to liked item, shown on demand",yes,explanation on demand,local,post-hoc,,
152,152.01,textual,-,Output,"template-based including users functional requirements that are satisfied by the product, product type and properties",no,none,local,post-hoc,User preferences and input,Preference match
152,152.02,textual,list of features?,Output,"list of item features? hard to tell but seems to be not personalized, baseline",no,none,local,post-hoc,items and their features,Decisive features
153,153.01,textual,"Instead of being restricted to complete reviews, ATM can group sentences by aspects which may result in a more orderly visual presentation of information.",Output,aspect-based explanation,no,none,local,model intrinsic,Background and complementary information,Background data
154,154.01,visual,bar chart,Output,bar chart of user preferences of audio features (range) and said features for each song indicated by a white line,no,none,local,-,User preferences and input,Preference match
156,156.01,visual,bar chart ,Input,"popularity-based explanations - the quality perception of other consumers with regard to a given hotel, in the form of the rating distribution",no,none,local,-,Background and complementary information,Knowledge about the community
156,156.02,hybrid,visual + textual: pro-con comparison,Input,feature-based explanations - a pros-and-cons comparison with other hotels with respect to certain features,no,none,local,-,items and their features,Feature-based domination
156,156.03,textual,shows 3 similar users to the current user and an estimate of how the current user would rate the hotel,Process,peer-based explanations - information about the recommendation process itself in terms of selected neighbor ratings,no,none,local,,Background and complementary information,Knowledge about the community
157,157.01,textual,,Output,user-based,no,none,local,model-intrinsic,Decision inference process,Inference and domain knowledge
157,157.02,textual,,Output,item-based CF,no,none,local,model-intrinsic,Decision inference process,Inference and domain knowledge
157,157.03,textual,,Output,item-based last.fm,no,none,local,model-intrinsic,Background and complementary information,Background data
157,157.04,textual,,Output,content-based Jaccard,no,none,local,model-intrinsic,Decision inference process,Inference and domain knowledge
157,157.05,textual,,Output,content-based tags,no,none,local,model-intrinsic,items and their features,Decisive features
157,157.06,textual,,Output,social,no,none,local,model-intrinsic,Background and complementary information,Knowledge about peers
157,157.07,textual,,Output,item popularity,no,none,local,model-intrinsic,Background and complementary information,Background data
157,157.08,visual,Venn diagram,Output,,no,none,local,model-intrinsic,Background and complementary information + Decision inference process,Knowledge about the community + Inference and domain knowledge
157,157.09,visual,static cluster dendogram,Output,,no,none,local,model-intrinsic,Background and complementary information + Decision inference process,Knowledge about the community + Inference and domain knowledge
157,157.10,textual,,Output,"combination of user-based, item-based cf, and popularity",no,none,local,model-intrinsic,Background and complementary information,Background data
157,157.11,visual,interactive cluster dendogram,Output,,yes,expand explanation depth by clicking on node,local,model-intrinsic,Background and complementary information + Decision inference process,Knowledge about the community + Inference and domain knowledge
158,158.01,visual,bar chart,Output,showing the six most influential explanatory features and their corresponding weights. Explanations created with LIME.,yes,"adapt weights with slider, like/dislike recommendation",local,post-hoc,User preferences and input,Feature importance analysis
158,158.02,visual,bar chart,Input,prediction of user's movie preferences. (c) in example picture,no,none,global,post-hoc,User preferences and input,Suitability estimate
159,159.01,textual,,Output,popularity-based approach,yes,"three different methods for showing the explanations: hidden (click on a button to see the explanation in a pop-up window); teaser (the beginning of the explanation is shown, followed by an ellipsis read more....) when clicked there is a pop-up window;",local,post-hoc,Background and complementary information,Knowledge about the community
159,159.02,textual,,Output,item-item content based,yes,"three different methods for showing the explanations: hidden (click on a button to see the explanation in a pop-up window); teaser (the beginning of the explanation is shown, followed by an ellipsis read more....) when clicked there is a pop-up window;",local,post-hoc,Background and complementary information,Knowledge about similar items
159,159.03,textual,,Output,user-item content-based,yes,"three different methods for showing the explanations: hidden (click on a button to see the explanation in a pop-up window); teaser (the beginning of the explanation is shown, followed by an ellipsis read more....) when clicked there is a pop-up window;",local,post-hoc,Background and complementary information,Knowledge about similar items
