Paper ID,Hypothesis ID,Hypothesis,Dependent Variable,Sub-Sub-Category,Sub-Category,Main DV Category,Effect On,subj/obj evaluation,Independent Variable (evaluated),Independent Variables (compared),Comparison Type,Result,Explanation ID Evaluated,Explanation ID Compared,Related user study ID,"Explanation Modalities evaluated (display, focus, interactivity, explanation type)","Explanation Generation Evaluated (generation approach (intrinsic/post-hoc), data type, recommender model type, recommendation problem)","Explanation Modalities Compared (display, focus, interactivity, explanation type)","Explanation Generation Compared (generation approach (intrinsic/post-hoc), data type, recommender model type, recommendation problem)"
42,42.002,"However, there was no significant increase in integrity, one-dimensional trust or intention to return.",integrity of system,system integrity,cognitive trust,trust,user,subj,real explanation,placebo explanation,internal explanation,not found,42.01,42.02,42.1,"hybrid, output, static, local","model-intrinsic, user features, collaborative filtering, course recommendations","textual, output, static, local",not mentioned/mockup
42,42.013,"However, there was no significant increase in integrity, one-dimensional trust or intention to return.",one-dimensional trust,trust in system,cognitive trust,trust,user,subj,real explanation,placebo explanation,internal explanation,not found,42.01,42.02,42.1,"hybrid, output, static, local","model-intrinsic, user features, collaborative filtering, course recommendations","textual, output, static, local",not mentioned/mockup
42,42.014,"However, there was no significant increase in integrity, one-dimensional trust or intention to return.",intention to return,intention to return,behavioral trust,trust,user,subj,real explanation,placebo explanation,internal explanation,not found,42.01,42.02,42.1,"hybrid, output, static, local","model-intrinsic, user features, collaborative filtering, course recommendations","textual, output, static, local",not mentioned/mockup
42,42.015,"However, there was no significant increase in integrity, one-dimensional trust or intention to return.",integrity of system,system integrity,cognitive trust,trust,user,subj,real explanation,no explanation,no explanation,not found,42.01,-,42.1,"hybrid, output, static, local","model-intrinsic, user features, collaborative filtering, course recommendations",-,-
42,42.016,"However, there was no significant increase in integrity, one-dimensional trust or intention to return.",one-dimensional trust,trust in system,cognitive trust,trust,user,subj,real explanation,no explanation,no explanation,not found,42.01,-,42.1,"hybrid, output, static, local","model-intrinsic, user features, collaborative filtering, course recommendations",-,-
42,42.017,"However, there was no significant increase in integrity, one-dimensional trust or intention to return.",intention to return,intention to return,behavioral trust,trust,user,subj,real explanation,no explanation,no explanation,not found,42.01,-,42.1,"hybrid, output, static, local","model-intrinsic, user features, collaborative filtering, course recommendations",-,-
42,42.003,"For benevolence, there was only a significant increase (p < 0.05) when comparing REAL to NONE.",benevolence,system benevolence,affective trust,trust,user,subj,real explanation,no explanation,no explanation,found,42.01,-,42.1,"hybrid, output, static, local","model-intrinsic, user features, collaborative filtering, course recommendations",-,-
42,42.004,Two-sided Mann-Whitney U tests did not reveal any significant difference (p < 0.05) between PLACEBO and NONE: the smallest p-values were 0.099 (perceived transparency) and 0.143 (integrity); all other values were above 0.327.,perceived recommendation transparency,-,transparency of recommendations,transparency,user + system,subj,placebo explanation,no explanation,no explanation,not found,42.02,-,42.1,"textual, output, static, local",not mentioned/mockup,-,-
42,42.018,Two-sided Mann-Whitney U tests did not reveal any significant difference (p < 0.05) between PLACEBO and NONE: the smallest p-values were 0.099 (perceived transparency) and 0.143 (integrity); all other values were above 0.327.,integrity of system,system integrity,cognitive trust,trust,user,subj,placebo explanation,no explanation,no explanation,not found,42.02,-,42.1,"textual, output, static, local",not mentioned/mockup,-,-
42,42.019,Two-sided Mann-Whitney U tests did not reveal any significant difference (p < 0.05) between PLACEBO and NONE: the smallest p-values were 0.099 (perceived transparency) and 0.143 (integrity); all other values were above 0.327.,perceived system competence,system competence,cognitive trust,trust,user,subj,placebo explanation,no explanation,no explanation,not found,42.02,-,42.1,"textual, output, static, local",not mentioned/mockup,-,-
42,42.020,Two-sided Mann-Whitney U tests did not reveal any significant difference (p < 0.05) between PLACEBO and NONE: the smallest p-values were 0.099 (perceived transparency) and 0.143 (integrity); all other values were above 0.327.,benevolence,system benevolence,affective trust,trust,user,subj,placebo explanation,no explanation,no explanation,not found,42.02,-,42.1,"textual, output, static, local",not mentioned/mockup,-,-
42,42.021,Two-sided Mann-Whitney U tests did not reveal any significant difference (p < 0.05) between PLACEBO and NONE: the smallest p-values were 0.099 (perceived transparency) and 0.143 (integrity); all other values were above 0.327.,"trusting beliefs measured through system competence, benevolence, integrity",-,trusting beliefs,trust,user,subj,placebo explanation,no explanation,no explanation,not found,42.02,-,42.1,"textual, output, static, local",not mentioned/mockup,-,-
42,42.022,Two-sided Mann-Whitney U tests did not reveal any significant difference (p < 0.05) between PLACEBO and NONE: the smallest p-values were 0.099 (perceived transparency) and 0.143 (integrity); all other values were above 0.327.,intention to return,intention to return,behavioral trust,trust,user,subj,placebo explanation,no explanation,no explanation,not found,42.02,-,42.1,"textual, output, static, local",not mentioned/mockup,-,-
42,42.023,Two-sided Mann-Whitney U tests did not reveal any significant difference (p < 0.05) between PLACEBO and NONE: the smallest p-values were 0.099 (perceived transparency) and 0.143 (integrity); all other values were above 0.327.,one-dimensional trust,trust in system,cognitive trust,trust,user,subj,placebo explanation,no explanation,no explanation,not found,42.02,-,42.1,"textual, output, static, local",not mentioned/mockup,-,-
42,42.024,Two-sided Mann-Whitney U tests did not reveal any significant difference (p < 0.05) between PLACEBO and NONE: the smallest p-values were 0.099 (perceived transparency) and 0.143 (integrity); all other values were above 0.327.,multidimensional trust,-,trusting beliefs,trust,user,subj,placebo explanation,no explanation,no explanation,not found,42.02,-,42.1,"textual, output, static, local",not mentioned/mockup,-,-
42,42.005,"In addition, one-sided Mann-Whitney U tests revealed that the NONE group accepted significantly less recommendations than both REAL (p = 0.007, U = 67, CLES = 0.827) and PLACEBO (p = 0.039, U = 72, CLES = 0.727).",objective recommendation acceptance,-,explanation persuasiveness,persuasiveness,user,obj,no explanations,real explanations,no explanation,not found,-,42.01,42.1,-,-,"hybrid, output, static, local","model-intrinsic, user features, collaborative filtering, course recommendations"
42,42.025,"In addition, one-sided Mann-Whitney U tests revealed that the NONE group accepted significantly less recommendations than both REAL (p = 0.007, U = 67, CLES = 0.827) and PLACEBO (p = 0.039, U = 72, CLES = 0.727).",objective recommendation acceptance,-,explanation persuasiveness,persuasiveness,user,obj,no explanations,placebo explanations,no explanation,not found,-,42.02,42.1,-,-,"textual, output, static, local",not mentioned/mockup
43,43.001,"Using a two-tailed paired t-test (𝑝0=0.05), we observed that in this study, (i) the differences between r-by-e-ratings and actual-ratings are not statistically different; (ii) the differences between CB-|C|ratings and actual-ratings are also not statistically significant; and (iii) r-by-e-ratings and CB-|C|-ratings are not statistically different.",objective effectiveness,-,explanation effectiveness,effectiveness,user,obj,r-by-e ratings,actual ratings,no explanation,not found,43.01,-,43.1,"hybrid, output, interactive, local","model-intrinsic, reviews, explanation based, top-k",-,-
43,43.002,"Using a two-tailed paired t-test (𝑝0=0.05), we observed that in this study, (i) the differences between r-by-e-ratings and actual-ratings are not statistically different; (ii) the differences between CB-|C|ratings and actual-ratings are also not statistically significant; and (iii) r-by-e-ratings and CB-|C|-ratings are not statistically different.",objective effectiveness,-,explanation effectiveness,effectiveness,user,obj,r-by-e ratings,CB-|C| ratings,internal explanation,not found,43.01,43.02,43.1,"hybrid, output, interactive, local","model-intrinsic, reviews, explanation based, top-k","hybrid, output, interactive, local","model-intrinsic, reviews, explanation based, top-k"
43,43.003,"Using a two-tailed paired t-test (𝑝0=0.05), we observed that in this study, (i) the differences between r-by-e-ratings and actual-ratings are not statistically different; (ii) the differences between CB-|C|ratings and actual-ratings are also not statistically significant; and (iii) r-by-e-ratings and CB-|C|-ratings are not statistically different.",objective effectiveness,-,explanation effectiveness,effectiveness,user,obj,CB-|C| ratings,actual ratings,no explanation,not found,43.02,-,43.1,"hybrid, output, interactive, local","model-intrinsic, reviews, explanation based, top-k",-,-
45,45.001,We hypothesize that (H1) framing explanations positively even when a decision has a negative implication improves the understandability of explanations.,understandability of explanations,-,explanation content quality perception,user perception of explanation quality,system,subj,framing of explanation adjusted to implication of decision,explanation not adjusted to implication,internal explanation,found,45.01,45.03,45.1,"hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k","hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k"
45,45.002,"Comparing across both framing conditions, positive labels (right bars in the graphs) seem to be a bit more understandable than the no-labels at the condition level, which is supported by a positive significant main effect of positive labels (β = 0.267, p = 0.024).",understandability of explanations at condition level,-,explanation content quality perception,User perception of explanation quality,system,subj,explanations with positive semantic labels,explanation without semantic labels,internal explanation,found,45.02,45.01?,45.1,"hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k","hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k"
45,45.003,"However, for the trial-level the differences seem much smaller and no effect of positive label on understandability is observed.",understandability of explanations at trial level,-,explanation content quality perception,User perception of explanation quality,system,subj,explanations with positive semantic labels,explanation without semantic labels,internal explanation,not found,45.02,45.01?,45.1,"hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k","hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k"
45,45.004,"Indeed only Model 1 shows a negative effect of the negative label on understandability at the trial level (β = -0.225, p = .039).",understandability of explanations at trial level,-,explanation content quality perception,User perception of explanation quality,system,subj,explanations with negative labels,explanations without semantic labels,internal explanation,found,45.02,45.01?,45.1,"hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k","hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k"
45,45.005,"A post-hoc contrast analysis combining the effects of both label conditions confirms that using any label compared to not using a label does not lead to higher understandability (Model 1, β = -0.142, tr atio (128) = -0.773, p = 0.441).",understandability of explanations,-,explanation content quality perception,user perception of explanation quality,system,subj,explanations with semantic label,explanations without semantic labels,internal explanation,not found,45.02,45.01?,45.1,"hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k","hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k"
45,45.006,"A post-hoc contrast analysis supports this: positive labels are more understandable than negative labels (trial-level: β = 0.308, tratio (127) = 2.959, p = 0.004; condition-level: β = 0.254, tr atio (132) = 2.176, p = 0.031).",understandability of explanations,-,explanation content quality perception,user perception of explanation quality,system,subj,explanations with positive semantic labels,explanations with negative labels,internal explanation,found,45.02,45.02,45.1,"hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k","hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k"
45,45.007,"A post-hoc contrast analysis confirms this as we find no significant total effect of framing (main effect + interaction effect positive labels: β = 0.048, tr atio (2369) = 1.409, p = 0.159; main effect + interaction effect negative labels: β = -0.026, tr atio (2365) = -0.701, p = 0.483).",understandability of explanations at trial level,-,explanation content quality perception,User perception of explanation quality,system,subj,explanations with positive semantic labels and positive framing,explanations with positive framing,internal explanation,not found,45.02,45.01,45.1,"hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k","hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k"
45,45.011,"A post-hoc contrast analysis confirms this as we find no significant total effect of framing (main effect + interaction effect positive labels: β = 0.048, tr atio (2369) = 1.409, p = 0.159; main effect + interaction effect negative labels: β = -0.026, tr atio (2365) = -0.701, p = 0.483).",understandability of explanations at trial level,-,explanation content quality perception,User perception of explanation quality,system,subj,explanations with negative semantic labels and positive framing,explanations with positive framing,internal explanation,not found,45.02,45.01,45.1,"hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k","hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k"
45,45.080,"The condition-level model (Table 2, Model 2) shows similar results with a positive main effect of framing (β = 0.236, p < 0.001), counteracted by a negative interaction effect with positive labels (β = -0.144, p = 0.070), and negative labels (β = -0.297, p < 0.001). Post-hoc contrast analysis yields that the effect of framing is reduced but not completely eliminated for positive labels: main effect + interaction effect positive labels (β = 0.18, tr atio (410) = 2.149, p = 0.0322), but it is completely eliminated for negative labels: main effect + interaction effect negative labels (β = 0.0269, tr atio (404) = 0.312, p = 0.756).",understandability of explanations at condition level,-,explanation content quality perception,User perception of explanation quality,system,subj,explanations with positive semantic labels and positive framing,explanations with positive framing,internal explanation,found,45.02,45.01,45.1,"hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k","hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k"
45,45.012,"The condition-level model (Table 2, Model 2) shows similar results with a positive main effect of framing (β = 0.236, p < 0.001), counteracted by a negative interaction effect with positive labels (β = -0.144, p = 0.070), and negative labels (β = -0.297, p < 0.001). Post-hoc contrast analysis yields that the effect of framing is reduced but not completely eliminated for positive labels: main effect + interaction effect positive labels (β = 0.18, tr atio (410) = 2.149, p = 0.0322), but it is completely eliminated for negative labels: main effect + interaction effect negative labels (β = 0.0269, tr atio (404) = 0.312, p = 0.756).",understandability of explanations at condition level,-,explanation content quality perception,User perception of explanation quality,system,subj,explanations with negative semantic labels and positive framing,explanations with positive framing,internal explanation,not found,45.02,45.01,45.1,"hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k","hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k"
45,45.009,"The explanations in the loan application domain are more understandable compared to the music domain, β = −0.106, p < 0.001, but this effect is only seen in the trial-level understandability metric.",understandability of explanations at trial level,-,explanation content quality perception,User perception of explanation quality,system,subj,loan application domain,music domain,internal explanation,found,"45.01, 45.02, 45.03",-,45.1,"hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k",-,-
45,45.010,"When a user agreed with the explanation, they found the explanation more understandable, β = 0.434, p < 0.001 (trial-level), β = 0.187, p < 0.001 (condition-level).",understandability of explanations at condition level,-,explanation content quality perception,User perception of explanation quality,system,subj,user agrees with explanation,user disagrees with explanation [confirmation bias],user characteristics in IV,found,"45.01, 45.02, 45.03",-,45.1,"hybrid, output, static, local","post-hoc, not mentioned, model agnostic, top-k",-,-
49,49.001,"First, we find that the POINTWISE method that takes into account review sentences for providing explanations leads to statistically significant improvement over the BASELINE explanation that does not use review sentences for both Effectiveness and Transparency.",perceived explanation effectiveness,-,explanation effectiveness,effectiveness,user,subj,pointwise,baseline,internal explanation,found,49.02,49.03,49.1,"audio, output, static, local","post-hoc, review, not mentioned, top-k","audio, output, static, local","post-hoc, review, not mentioned, top-k"
49,49.004,"First, we find that the POINTWISE method that takes into account review sentences for providing explanations leads to statistically significant improvement over the BASELINE explanation that does not use review sentences for both Effectiveness and Transparency.",perceived understanding of recommendation,why recommended,understanding,transparency,user + system,subj,pointwise,baseline,internal explanation,found,49.02,49.03,49.1,"audio, output, static, local","post-hoc, review, not mentioned, top-k","audio, output, static, local","post-hoc, review, not mentioned, top-k"
49,49.002,"For the PAIRWISE method we observe that it outperforms the BASELINE method for Persuasiveness, Effectiveness and Transparency, and the POINTWISE method for Effectiveness and Transparency.",self-reported purchase intention,-,likelihood to follow recommendation,persuasiveness,user,subj,pairwise,baseline,internal explanation,found,49.01,49.03,49.1,"audio, output, static, pairwise","post-hoc, review, not mentioned, top-k","audio, output, static, local","post-hoc, review, not mentioned, top-k"
49,49.005,"For the PAIRWISE method we observe that it outperforms the BASELINE method for Persuasiveness, Effectiveness and Transparency, and the POINTWISE method for Effectiveness and Transparency.",perceived explanation effectiveness,-,explanation effectiveness,effectiveness,user,subj,pairwise,baseline,internal explanation,found,49.01,49.03,49.1,"audio, output, static, pairwise","post-hoc, review, not mentioned, top-k","audio, output, static, local","post-hoc, review, not mentioned, top-k"
49,49.006,"For the PAIRWISE method we observe that it outperforms the BASELINE method for Persuasiveness, Effectiveness and Transparency, and the POINTWISE method for Effectiveness and Transparency.",perceived understanding of recommendation,why recommended,understanding,transparency,user + system,subj,pairwise,baseline,internal explanation,found,49.01,49.03,49.1,"audio, output, static, pairwise","post-hoc, review, not mentioned, top-k","audio, output, static, local","post-hoc, review, not mentioned, top-k"
49,49.007,"For the PAIRWISE method we observe that it outperforms the BASELINE method for Persuasiveness, Effectiveness and Transparency, and the POINTWISE method for Effectiveness and Transparency.",perceived explanation effectiveness,-,explanation effectiveness,effectiveness,user,subj,pairwise,pointwise,internal explanation,found,49.01,49.02,49.1,"audio, output, static, pairwise","post-hoc, review, not mentioned, top-k","audio, output, static, local","post-hoc, review, not mentioned, top-k"
49,49.008,"For the PAIRWISE method we observe that it outperforms the BASELINE method for Persuasiveness, Effectiveness and Transparency, and the POINTWISE method for Effectiveness and Transparency.",perceived understanding of recommendation,why recommended,understanding,transparency,user + system,subj,pairwise,pointwise,internal explanation,found,49.01,49.02,49.1,"audio, output, static, pairwise","post-hoc, review, not mentioned, top-k","audio, output, static, local","post-hoc, review, not mentioned, top-k"
49,49.003,We found that no method had a significant improvement for the Scrutability goal.,understand if system made interpretation error,how recommendations,understanding,transparency,user + system,subj,pairwise,pointwise,internal explanation,not found,49.01,49.02,49.1,"audio, output, static, pairwise","post-hoc, review, not mentioned, top-k","audio, output, static, local","post-hoc, review, not mentioned, top-k"
49,49.009,We found that no method had a significant improvement for the Scrutability goal.,understand if system made interpretation error,how recommendations,understanding,transparency,user + system,subj,pairwise,baseline,internal explanation,not found,49.01,49.03,49.1,"audio, output, static, pairwise","post-hoc, review, not mentioned, top-k","audio, output, static, local","post-hoc, review, not mentioned, top-k"
49,49.010,We found that no method had a significant improvement for the Scrutability goal.,understand if system made interpretation error,how recommendations,understanding,transparency,user + system,subj,pointwise,baseline,internal explanation,not found,49.02,49.03,49.1,"audio, output, static, local","post-hoc, review, not mentioned, top-k","audio, output, static, local","post-hoc, review, not mentioned, top-k"
56,56.001,"The WOA was higher for the Dr.XAI interface (Mdn=0.31) than the Dr.AI interface (Mdn=0). A paired-samples two-sided Wilcoxon signed-rank test indicated that this difference was statistically significant (𝑇 = 32.5, 𝑝 = 0.002).",weight of advice,-,decision quality,effectiveness,user,obj,explanation,no explanation,no explanation,found,56.01,-,56.1,"hybrid, output, static, local","not mentioned, user attributes, not mentioned, not mentioned",-,-
56,56.002,"A paired-samples two-sided Wilcoxon signed-rank test did not find any statistically significant difference between the two interfaces 𝑇 = 169, 𝑝 = 0.869. This means that the explanation did not significantly increases or decreased participants confidence in their second estimate compared with a system that provide only the suggestion.",decision confidence,-,decision effectiveness,effectiveness,user,subj,explanation,no explanation,no explanation,not found,56.01,-,56.1,"hybrid, output, static, local","not mentioned, user attributes, not mentioned, not mentioned",-,-
56,56.003,"A paired-samples two-sided Wilcoxon signed-rank test did not find any statically significant difference between the two interfaces 𝑇 = 37, 𝑝 = 0.076. This result did not confirm our second hypothesis that the behavioral intention of using the AI interface Dr.XAI (suggestion and explanation) was higher than the Dr.AI (only suggestion) one.",behavioral intention to use system,intention to return,behavioral trust,trust,user,subj,explanation,no explanation,no explanation,not found,56.01,-,,"hybrid, output, static, local","not mentioned, user attributes, not mentioned, not mentioned",-,-
56,56.004,"we did not find a significant difference in explicit trust between the two interfaces (figure 3(d), paired-samples two-sided Wilcoxon signed-rank test, 𝑇 = 157.0, 𝑝 = 0.881), but we found a strong positive Spearman correlation between explicit trust and perceived explanation quality ( 𝑟𝑠 (27) = 0.77, 𝑝 < .001).",trust in system,trust in system,cognitive trust,trust,user,subj,explanation,no explanation,no explanation,not found,56.01,-,56.1,"hybrid, output, static, local","not mentioned, user attributes, not mentioned, not mentioned",-,-
56,56.005,no significant differences have been found in the dimensions of acceptance between the two systems.,system acceptance,system acceptance (subjective),other,Interface Quality,system,subj,explanation,no explanation,no explanation,not found,56.01,-,56.1,"hybrid, output, static, local","not mentioned, user attributes, not mentioned, not mentioned",-,-
61,61.001,"Figure 2a shows that for users with high NFC, satisfaction first increased, while the advanced explanation had the lowest average satisfaction",satisfaction for users with high need for cognition,explanation satisfaction (subjective),explanation satisfaction,explanation preference,#N/A,subj,basic explanation,advanced explanation,internal explanation,found,61.01,61.03,61.1,"hybrid, input + output, interactive, local","not mentioned, natural language textual, content-based, top-k","visual, input + Process, interactive, global"," not mentioned, natural language text, content-based, top-k"
61,61.009,"Figure 2a shows that for users with high NFC, satisfaction first increased, while the advanced explanation had the lowest average satisfaction",satisfaction for users with high need for cognition,explanation satisfaction (subjective),explanation satisfaction,explanation preference,#N/A,subj,intermediate explanation,advanced explanation,internal explanation,found,61.02,61.03,61.1,"visual, input + output, interactive, local","not mentioned, natural language textual, content-based, top-k","visual, input + Process, interactive, global"," not mentioned, natural language text, content-based, top-k"
61,61.003,"Figure 2b shows that, for users with low VF, trust increased with the explanation levels, while users with high VF had the average highest trust for the intermediate explanation.",trust for users with low visualization familiarity,-,trusting beliefs,trust,user,subj,basic explanation,intermediate explanation,internal explanation,found,61.01,61.02,61.1,"hybrid, input + output, interactive, local","not mentioned, natural language textual, content-based, top-k","visual, input + output, interactive, local"," not mentioned, natural language text, content-based, top-k"
61,61.027,"Figure 2b shows that, for users with low VF, trust increased with the explanation levels, while users with high VF had the average highest trust for the intermediate explanation.",trust for users with low visualization familiarity,-,trusting beliefs,trust,user,subj,intermediate explanation,advanced explanation,internal explanation,found,61.02,61.03,61.1,"visual, input + output, interactive, local","not mentioned, natural language textual, content-based, top-k","visual, input + Process, interactive, global"," not mentioned, natural language text, content-based, top-k"
61,61.028,"Figure 2b shows that, for users with low VF, trust increased with the explanation levels, while users with high VF had the average highest trust for the intermediate explanation.",trust for users with low visualization familiarity,-,trusting beliefs,trust,user,subj,basic explanation,advanced explanation,internal explanation,found,61.01,61.03,61.1,"hybrid, input + output, interactive, local","not mentioned, natural language textual, content-based, top-k","visual, input + Process, interactive, global"," not mentioned, natural language text, content-based, top-k"
61,61.029,"Figure 2b shows that, for users with low VF, trust increased with the explanation levels, while users with high VF had the average highest trust for the intermediate explanation.",trust for users with high visualisation familiarity,-,trusting beliefs,trust,user,subj,intermediate explanation,basic explanation,internal explanation,found,61.02,61.01,61.1,"visual, input + output, interactive, local","not mentioned, natural language textual, content-based, top-k","hybrid, input + output, interactive, local"," not mentioned, natural language text, content-based, top-k"
62,62.001,"There was a significant main effect of contextual relevance, F(1,30) = 35.12, p < 0.001, η2 p = 0.54. Participants perceived the context-relevant explanations more effective than the context irrelevant explanations, suggesting that contextual relevance has positive influence on users’ perceived effectiveness of the explanation.",perceived explanation effectiveness,(subjective),explanation effectiveness,effectiveness,user,subj,context-relevant explanations ,context-irrelevant explanations,internal explanation,found,"62.07, 62.08, 62.09, 62.10, 62.11, 62.12, 62.13","62.01, 62.02, 62.03, 62.04, 62.05, 62.06",62.1,"textual or audio, output, static, local",not mentioned/mockup,"textual, output, static, local",not mentioned/mockup
62,62.002,"the results showed that there was a significant main effect of the number of features, F(2,60) = 23.14, p < 0.001, η2 p = 0.44. The Bonferroni post-hoc test showed that participants perceived the 2-feature explanations less effective than the 3-feature (Mdiff = 1.81, SE = 0.38, p < 0.001) and 4-feature (Mdiff = 2.90, SE = 0.50, p < 0.001) explanations.",perceived explanation effectiveness,(subjective),explanation effectiveness,effectiveness,user,subj,3-feature explanations,2-feature explanations,internal explanation,found,"62.03, 62.04, 62.09, 62.10","62.01, 62.02, 62.07, 62.08",62.1,"textual, output, static, local",not mentioned/mockup,"textual, output, static, local",not mentioned/mockup
62,62.024,"the results showed that there was a significant main effect of the number of features, F(2,60) = 23.14, p < 0.001, η2 p = 0.44. The Bonferroni post-hoc test showed that participants perceived the 2-feature explanations less effective than the 3-feature (Mdiff = 1.81, SE = 0.38, p < 0.001) and 4-feature (Mdiff = 2.90, SE = 0.50, p < 0.001) explanations.",perceived explanation effectiveness,(subjective),explanation effectiveness,effectiveness,user,subj,4-feature explanations,2-feature explanations,internal explanation,found,"62.05, 62.06, 62.11, 62.12","62.01, 62.02, 62.07, 62.08",62.1,"textual, output, static, local",not mentioned/mockup,"textual, output, static, local",not mentioned/mockup
62,62.003,"participants perceived the 3-feature explanations less effective than the 4-feature explanations (Mdiff = –1.09, SE = 0.40, p = 0.034).",perceived explanation effectiveness,(subjective),explanation effectiveness,effectiveness,user,subj,4-feature explanations,3-feature explanations,internal explanation,found,"62.05, 62.06, 62.11, 62.12","62.03, 62.04, 62.09, 62.10",62.1,"textual, output, static, local",not mentioned/mockup,"textual, output, static, local",not mentioned/mockup
62,62.004,"the main effect of feature type (i.e., twosided explanation or pure positive) and all the interaction effects among those three content design factors were not significant, p > 0.05.",perceived explanation effectiveness,(subjective),explanation effectiveness,effectiveness,user,subj,two-sided explanations,one-sided explanations,internal explanation,not found,"62.02, 62.04, 62.06, 62.08, 62.10, 62.12","62.01, 62.03, 62.05, 62.07, 62.09, 62.11",62.1,"textual, output, static, local",not mentioned/mockup,"textual, output, static, local",not mentioned/mockup
62,62.005,"participants were more satisfied with the recommender systems providing the context-relevant explanations than those providing the contextirrelevant explanations, F(1,119) = 9.20, p = 0.003, η2 p = 0.07.",satisfaction with recommender system,recommendation satisfaction (subjective),recommender satisfaction,satisfaction,user,subj,context-relevant explanations ,context-irrelevant explanations,internal explanation,found,"62.07, 62.08, 62.09, 62.10, 62.11, 62.12, 62.19, 62.20, 62.21, 62.22, 62.23, 62.24","62.01, 62.02, 62.03, 62.04, 62.05, 62.06, 62.13, 62.14, 62.15, 62.16, 62.17, 62.18",62.2,"textual or audio, output, static, local",not mentioned/mockup,"textual or audio, output, static, local",not mentioned/mockup
62,62.006,"the main effect of the number of features was significant, F(1.88,223.86) = 27.80, p < 0.001, η2 p = 0.19. The Bonferroni post-hoc test showed that participants were less satisfied with the recommender systems providing 2-feature explanations than those providing 3-feature (Mdiff = –0.30, SE = 0.05, p < 0.001) and 4-feature (Mdiff = –0.33, SE = 0.05, p < 0.001) explanations.",satisfaction with recommender system,recommendation satisfaction (subjective),recommender satisfaction,satisfaction,user,subj,3-feature explanations,2-feature explanations,internal explanation,found,"62.03, 62.04, 62.09, 62.10, 62.15, 62.16, 62.21, 62.22","62.01, 62.02, 62.07, 62.08, 62.13, 62.14, 62.19, 62.20",62.2,"textual or audio, output, static, local",not mentioned/mockup,"textual or audio, output, static, local",not mentioned/mockup
62,62.025,"the main effect of the number of features was significant, F(1.88,223.86) = 27.80, p < 0.001, η2 p = 0.19. The Bonferroni post-hoc test showed that participants were less satisfied with the recommender systems providing 2-feature explanations than those providing 3-feature (Mdiff = –0.30, SE = 0.05, p < 0.001) and 4-feature (Mdiff = –0.33, SE = 0.05, p < 0.001) explanations.",satisfaction with recommender system,recommendation satisfaction (subjective),recommender satisfaction,satisfaction,user,subj,4-feature explanations,2-feature explanations,internal explanation,found,"62.05, 62.06, 62.11, 62.12, 62.17, 62.18, 62.23, 62.24","62.01, 62.02, 62.07, 62.08, 62.13, 62.14, 62.19, 62.20",62.2,"textual or audio, output, static, local",not mentioned/mockup,"textual or audio, output, static, local",not mentioned/mockup
62,62.007,"no significant difference was found between 3-feature and 4-feature explanations (Mdiff = –0.04, SE = 0.04, p = 1.00).",satisfaction with recommender system,recommendation satisfaction (subjective),recommender satisfaction,satisfaction,user,subj,4-feature explanations,3-feature explanations,internal explanation,not found,"62.05, 62.06, 62.11, 62.12, 62.17, 62.18, 62.23, 62.24","62.03, 62.04, 62.09, 62.10, 62.15, 62.16, 62.21, 62.22",62.2,"textual or audio, output, static, local",not mentioned/mockup,"textual or audio, output, static, local",not mentioned/mockup
62,62.008,"The main effects of feature type and output modality were not significant, p > 0.05.",satisfaction with recommender system,recommendation satisfaction (subjective),recommender satisfaction,satisfaction,user,subj,two-sided explanations,one-sided explanations,internal explanation,not found,"62.02, 62.04, 62.06, 62.08, 62.10, 62.12, 62.14, 62.16, 62.18, 62.20, 62.22, 62.24","62.01, 62.03, 62.05, 62.07, 62.09, 62.11, 62.13, 62.15, 62.17, 62.19, 62.21, 62.23",62.2,"textual or audio, output, static, local",not mentioned/mockup,"textual or audio, output, static, local",not mentioned/mockup
